A. J. P. Taylor,Britisher,
Alex von Tunzelmann,Britisher,
Allah Bux,Indian,
Allan Hume ,Britisher,
Annie Besant,Britisher,
Arab warrior Muhammad bin Qasim,Indian,
Aryabhata,Indian,
Ashis Nandy,Indian,
Aurobindo Ghosh,Indian,
Bal Gangadhar Tilak,Indian,
"Baron Teignmouth, John Shore",Britisher,
Benedict Anderson,Others,China
Benjamin Disraeli,Britisher,
Brigadier General Reginald Dyer,Britisher,
C. V. Raman ,Indian,
Charles Grant,Britisher,
Clement Attlee,Britisher,
Dadabhai Naoroji,Indian,
David Lelyveld,Others,US
David Washbrook,Others,UK
Dorabji,Indian,
Dr B. R. Ambedkar,Indian,
Dr Rutherford,Britisher,
Dr Saifuddin Kitchlew,Indian,
Dr Satyapal,Indian,
Duc d’Orléans,Others,France
Edmund Burke,Others,Irish
Edward Thompson,Britisher,
Edward VII,Britisher,
French statesman Georges Clemenceau ,Others,
G. S. Iyer,Indian,
G. V. Joshi ,Indian,
George V,Britisher,
Georgina Brewis,Others,UK
Gopal Krishna Gokhale,Indian,
Henry Nevinson,Britisher,
Hsuan Tsang ,Others,China
Hyder Ali,Indian,
Iftiakar Ali Khan Nawab of Pataudi,Indian,
J. T. Sunderland,Britisher,
James Augustus Hicky ,Britisher,
James George Smith Neill,Britisher,
James Mill,Britisher,
Jawaharlal Nehru,Indian,
Justice Syed Mahmud,Indian,
Jyotiba Phule,Indian,
K. S. Duleepsinhji,Indian,
K. S. Ranjitsinhji,Indian,
Kamaladevi Chattopadhyay,Indian,
Keith Hjortshoj,Others,USA
Lala Lajpat Rai,Indian,
Lawrence James,Britisher,
Leopold Amery,Britisher,
Lord Cornwallis,Britisher,
Lord Curzon,Britisher,
Lord Dalhousie,Britisher,
Lord Elphinstone,Britisher,
Lord Hardinge,Britisher,
Lord Lake,Britisher,
Lord Linlithgow,Britisher,
Lord Lytton,Britisher,
Lord Montagu,Britisher,
Lord Mountbatten,Britisher,
Lord North,Britisher,
"Lord Thomas Babington
Macaulay",Britisher,
Lord Wellesley,Britisher,
Louis XIV,Britisher,
Maharaja of Kashmir,Indian,
"Mahmud, Sir Syed Ahmed Khan",Indian,
Major General Sir Thomas Munro,Britisher,
"Marquess of Salisbury, King_George_III",Britisher,
Mir Jafar,Indian,
Mir Nizam Ali Khan,Indian,
Mir Qasim,Indian,
Mohandas Karamchand Gandhi,Indian,
Mr. Montgomery Martin,Britisher,
Mughal Emperor Aurangzeb,Indian,
Mughal Emperor Jehangir,Indian,
Mughal emperor Shah Alam II,Indian,
Muhammad Ali Jinnah,Indian,
Nadir shah,Indian,
Nawab Khwaja Salimullah,Indian,
Nawab Siraj-ud-Daula,Indian,
Oscar Wilde,Others,
Partha Chatterjee,Indian,
Persian Nadir Shah,Others,Persia
Professor Clare Anderson,Others,USA
Professor Gauri Vishwanathan,Indian,
Queen Elizabeth I,Britisher,
Queen Mary,Britisher,
Queen Victoria,Britisher,
Rabindranath Tagore,Indian,
Raja Rammohan Roy,Indian,
Rajkumari Amrit Kaur,Indian,
Ramanujan,Indian,
Ramsay MacDonald,Britisher,
Robert Augustus Fuller,Britisher,
Robert Clive,Britisher,
Robert Fortune,Britisher,
Sardar Vallabbhai Patel,Indian,
Sarojini Naidu,Indian,
Satyendranath Tagore,Indian,
Sir Arthur Cotton,Britisher,
Sir Cecil Beadon,Britisher,
Sir Cyril Radcliffe,Britisher,
Sir Hugh Rose,Britisher,
Sir John Edge,Britisher,
Sir Pherozeshah Mehta,Indian,
Sir Richard Temple,Britisher,
Sir Sikandar Hayat Khan,Indian,
Sir Stafford Cripps,Britisher,
Sir Syed Ahmed Khan,Indian,
Sir Thomas Roe,Britisher,
Sir Walter Strickland ,Britisher,
Sir William Jones,Britisher,
Subhash Chandra Bose,Indian,
Surendra Nath Banerjea,Indian,
Susruta,Indian,
Swami Vivekananda,Indian,
Thomas Pitt,Britisher,
Tipu Sultan,Indian,
V. O. Chidambaram Pillai,Indian,
Viceroy Lord Lansdowne,Britisher,
Vithalbhai Patel,Indian,
Warren Hastings,Britisher,
Wavell Plan,Britisher,
Wilkie Collins,Britisher,
William Bentinck,Britisher,
William Digby,Britisher,
William Durant,Britisher,
William Hawkins,Britisher,
William Howitt,Britisher,
William Jennings Bryan,Britisher,
William Pitt the Younger,Britisher,
William Wedderburn,Britisher,
Winston Churchill,Britisher,
"Zamorin, Arab descent, the Kunjali Maraicars",Others,Arabian
,,
,,
,Britisher,